datetime,cloud_loss_prob,shading_loss_prob,temperature_loss_prob,soiling_loss_prob,inverter_loss_prob,cloud_flag_enhanced,shading_flag_enhanced,temperature_flag_enhanced,soiling_flag_enhanced,inverter_flag_enhanced,other_flag_enhanced
2024-10-01 00:00:00,0.5,0.9888910034617577,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 00:15:00,0.5,0.9888910034617577,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 00:30:00,0.5,0.9888910034617577,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 00:45:00,0.5,0.9888910034617577,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 01:00:00,0.5,0.9772058191163877,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 01:15:00,0.5,0.9772058191163877,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 01:30:00,0.5,0.9772058191163877,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 01:45:00,0.5,0.9772058191163877,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 02:00:00,0.5,0.9560630663765926,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 02:15:00,0.5,0.9560630663765926,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 02:30:00,0.5,0.9560630663765926,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 02:45:00,0.5,0.9560630663765926,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 03:00:00,0.5,0.9204404912817723,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 03:15:00,0.5,0.9204404912817723,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 03:30:00,0.5,0.9204404912817723,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 03:45:00,0.5,0.9204404912817723,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 04:00:00,0.5,0.8646647167633873,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 04:15:00,0.5,0.8646647167633873,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 04:30:00,0.5,0.8646647167633873,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 04:45:00,0.5,0.8646647167633873,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 05:00:00,0.5,0.7837348331701127,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 05:15:00,0.5,0.7837348331701127,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 05:30:00,0.5,0.7837348331701127,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 05:45:00,0.5,0.7837348331701127,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 06:00:00,0.5,0.6753475326416503,0.0,1.0,1.0,1,1,0,1,1,0
2024-10-01 06:15:00,0.5,0.6753475326416503,0.0,1.0,1.0,1,1,0,1,1,0
